address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon
Свердловская область;Екатеринбург;район Чкаловский;ул. Патриотов;д.6к4,район Чкаловский,ул. Патриотов,д.6к4,"56.781006,60.673269",64.5,3670592,56934,56.781006,60.673269
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. 40-летия Комсомола,район Кировский,ЖБИ мкр,ул. 40-летия Комсомола,"56.827675,60.692830",57.2,3663360,64000,56.827675,60.692830
Свердловская область;Екатеринбург;район Октябрьский;Луганская ул.,Екатеринбург,район Октябрьский,Луганская ул.,"56.807962,60.638341",52.8,3770634,71400,56.807962,60.638341
Свердловская область;Екатеринбург;район Ленинский;ул. Чкалова;д.252,район Ленинский,ул. Чкалова,д.252,"56.780349,60.533065",60.2,3800000,63122,56.780349,60.533065
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Зои Космодемьянской;д.44/2,Химмаш мкр,ул. Зои Космодемьянской,д.44/2,"56.750914,60.705849",54.0,3800000,70370,56.750914,60.705849
Свердловская область;Екатеринбург;район Чкаловский;Рощинская ул.;д.65,район Чкаловский,Рощинская ул.,д.65,"56.777272,60.676742",57.0,3850000,67543,56.777272,60.676742
Свердловская область;Екатеринбург;район Чкаловский;ул. Счастливая,Екатеринбург,район Чкаловский,ул. Счастливая,"56.749519,60.564728",52.9,3865500,73071,56.749519,60.564728
Свердловская область;Екатеринбург;район Кировский;Генеральская ул.;д.12,район Кировский,Генеральская ул.,д.12,"56.843437,60.635994",55.0,3850000,70000,56.843437,60.635994
Свердловская область;Екатеринбург;район Ленинский;Академический мкр;просп. Академика Сахарова;д.31,Академический мкр,просп. Академика Сахарова,д.31,"56.773504,60.536362",56.0,3900000,69642,56.773504,60.536362
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.,Екатеринбург,район Верх-Исетский,Заводская ул.,"56.822203,60.550899",57.5,4025000,70000,56.822203,60.550899
Свердловская область;Екатеринбург;район Верх-Исетский;Заводская ул.;д.75,район Верх-Исетский,Заводская ул.,д.75,"56.823991,60.552244",56.0,4025000,71875,56.823991,60.552244
Свердловская область;Екатеринбург;район Орджоникидзевский;бул. Культуры;д.5,район Орджоникидзевский,бул. Культуры,д.5,"56.887443,60.586219",56.4,4150000,73581,56.887443,60.586219
Свердловская область;Екатеринбург;район Верх-Исетский;Опалихинская ул.,Екатеринбург,район Верх-Исетский,Опалихинская ул.,"56.852402,60.562387",55.8,4190000,75156,56.852402,60.562387
Свердловская область;Екатеринбург;район Ленинский;ул. Краснолесья,Екатеринбург,район Ленинский,ул. Краснолесья,"56.784661,60.538231",59.0,4230900,71710,56.784661,60.538231
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",64.4,4220000,65527,56.782927,60.647289
Свердловская область;Екатеринбург;район Ленинский;ул. Шейнкмана;д.130,район Ленинский,ул. Шейнкмана,д.130,"56.818134,60.589776",53.2,4299000,80808,56.818134,60.589776
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",59.6,4371000,73302,56.843608,60.674976
Свердловская область;Екатеринбург;район Чкаловский;Миасская ул.;д.22,район Чкаловский,Миасская ул.,д.22,"56.786289,60.651010",59.5,4350000,73170,56.786289,60.651010
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Данилы Зверева,район Кировский,Пионерский мкр,ул. Данилы Зверева,"56.863410,60.652391",60.8,4513000,74226,56.863410,60.652391
Свердловская область;Екатеринбург;район Кировский;Пионерский мкр;ул. Ирбитская,район Кировский,Пионерский мкр,ул. Ирбитская,"56.861891,60.656715",74.2,4644000,62570,56.861891,60.656715
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. 22-го Партсъезда;д.3,район Орджоникидзевский,ул. 22-го Партсъезда,д.3,"56.886046,60.581008",65.0,2890000,44461,56.886046,60.581008
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Альпинистов;д.24А,Химмаш мкр,ул. Альпинистов,д.24А,"56.757140,60.705515",56.0,2850000,50892,56.757140,60.705515
Свердловская область;Екатеринбург;район Железнодорожный;Новая Сортировка мкр;ул. Софьи Перовской;д.113,Новая Сортировка мкр,ул. Софьи Перовской,д.113,"56.863818,60.553897",64.4,2850000,44254,56.863818,60.553897
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. 22-го Партсъезда;д.3,район Орджоникидзевский,ул. 22-го Партсъезда,д.3,"56.886046,60.581008",65.1,2890000,44393,56.886046,60.581008
Свердловская область;Екатеринбург;район Железнодорожный;Артинская ул.;д.36А,район Железнодорожный,Артинская ул.,д.36А,"56.865894,60.583164",57.1,2850000,49912,56.865894,60.583164
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Косарева;д.19,Химмаш мкр,ул. Косарева,д.19,"56.749772,60.707985",57.0,2850000,50000,56.749772,60.707985
Свердловская область;Екатеринбург;район Октябрьский;Латвийская ул.;д.44,район Октябрьский,Латвийская ул.,д.44,"56.795776,60.770481",59.0,2890000,48983,56.795776,60.770481
Свердловская область;Екатеринбург;район Железнодорожный;Конотопская ул.;д.2А,район Железнодорожный,Конотопская ул.,д.2А,"56.867287,60.575816",70.0,2850000,40714,56.867287,60.575816
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. Панельная;д.11,ЖБИ мкр,ул. Панельная,д.11,"56.833540,60.690306",54.0,2850000,52777,56.833540,60.690306
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Грибоедова;д.15,Химмаш мкр,ул. Грибоедова,д.15,"56.753666,60.696882",55.0,2850000,51818,56.753666,60.696882
Свердловская область;Екатеринбург;район Октябрьский;Лечебный мкр;пер. Загородный;д.5,Лечебный мкр,пер. Загородный,д.5,"56.809931,60.708848",62.5,2900000,46400,56.809931,60.708848
Свердловская область;Екатеринбург;пос. Совхозный;район Ленинский;Предельная ул.;д.10Б,район Ленинский,Предельная ул.,д.10Б,"56.761506,60.569815",62.0,2900000,46774,56.761506,60.569815
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Космонавтов;д.81,район Орджоникидзевский,просп. Космонавтов,д.81,"56.917563,60.610257",58.3,2900000,49742,56.917563,60.610257
Свердловская область;Екатеринбург;район Железнодорожный;Новая Сортировка мкр;ул. Софьи Перовской;д.117,Новая Сортировка мкр,ул. Софьи Перовской,д.117,"56.864054,60.556826",59.0,2900000,49152,56.864054,60.556826
Свердловская область;Екатеринбург;район Чкаловский;Елизавет мкр;ул. Колхозников;д.78,Елизавет мкр,ул. Колхозников,д.78,"56.753503,60.620184",57.2,2900000,50699,56.753503,60.620184
Свердловская область;Екатеринбург;район Железнодорожный;Автомагистральная ул.;д.23,район Железнодорожный,Автомагистральная ул.,д.23,"56.870647,60.558110",59.0,2990000,50677,56.870647,60.558110
Свердловская область;Екатеринбург;район Верх-Исетский;Ухтомская ул.;д.22,район Верх-Исетский,Ухтомская ул.,д.22,"56.817996,60.546711",56.0,2999000,53553,56.817996,60.546711
Свердловская область;Екатеринбург;район Чкаловский;Селькоровская ул.;д.102к1,район Чкаловский,Селькоровская ул.,д.102к1,"56.748494,60.606709",58.2,2950000,50687,56.748494,60.606709
Свердловская область;Екатеринбург;район Железнодорожный;Конотопская ул.;д.5,район Железнодорожный,Конотопская ул.,д.5,"56.866298,60.575951",56.8,2990000,52640,56.866298,60.575951
