address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon
Москва;район Проспект Вернадского;ул. Удальцова;д.27,район Проспект Вернадского,ул. Удальцова,д.27,"55.674174,37.509792",125.0,44500000,356000,55.674174,37.509792
Москва;район Очаково-Матвеевское;Староволынская ул.;д.15к2,район Очаково-Матвеевское,Староволынская ул.,д.15к2,"55.713725,37.479061",122.0,45000000,368852,55.713725,37.479061
Москва;район Пресненский;Большая Садовая ул.;д.5к1,район Пресненский,Большая Садовая ул.,д.5к1,"55.768588,37.592267",122.0,45000000,368852,55.768588,37.592267
Москва;район Раменки;Мосфильмовская ул.;д.88к2с4,район Раменки,Мосфильмовская ул.,д.88к2с4,"55.704093,37.493156",117.3,45000000,383631,55.704093,37.493156
Москва;район Тверской;Трехпрудный пер.;д.10/2,район Тверской,Трехпрудный пер.,д.10/2,"55.765407,37.597522",79.0,45000000,569620,55.765407,37.597522
Москва;район Тропарево-Никулино;просп. Вернадского;д.94к5,район Тропарево-Никулино,просп. Вернадского,д.94к5,"55.652197,37.473042",97.0,45000000,463917,55.652197,37.473042
Москва;район Раменки;Мичуринский просп.;д.3,район Раменки,Мичуринский просп.,д.3,"55.704509,37.512838",103.0,44990000,436796,55.704509,37.512838
Москва;район Раменки;Мосфильмовская ул.;д.88к2с6,район Раменки,Мосфильмовская ул.,д.88к2с6,"55.705488,37.493308",125.0,46000000,368000,55.705488,37.493308
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",100.0,46000000,460000,55.723237,37.527903
Москва;район Раменки;Мосфильмовская ул.;д.88к2с6,район Раменки,Мосфильмовская ул.,д.88к2с6,"55.705488,37.493308",125.0,46000000,368000,55.705488,37.493308
Москва;район Красносельский;ул. Сретенка;д.26/1,район Красносельский,ул. Сретенка,д.26/1,"55.770259,37.632772",155.0,46000000,296774,55.770259,37.632772
Москва;район Красносельский;ул. Сретенка;д.26/1,район Красносельский,ул. Сретенка,д.26/1,"55.770259,37.632772",155.0,46000000,296774,55.770259,37.632772
Москва;район Обручевский;ул. Воронцовские Пруды;д.3,район Обручевский,ул. Воронцовские Пруды,д.3,"55.664096,37.536517",130.8,46500000,355504,55.664096,37.536517
Москва;район Раменки;Мичуринский просп.;д.29,район Раменки,Мичуринский просп.,д.29,"55.696534,37.499408",140.0,47265300,337609,55.696534,37.499408
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",155.0,70897950,457406,55.723237,37.527903
Москва;район Раменки;Воробьевское ш.;д.4С1,район Раменки,Воробьевское ш.,д.4С1,"55.727886,37.536356",192.0,140000000,729166,55.727886,37.536356
Москва;район Тверской;2-й Щемиловский пер.;д.5а,район Тверской,2-й Щемиловский пер.,д.5а,"55.778801,37.608742",204.5,69322440,338985,55.778801,37.608742
Москва;район Хорошевский;Чапаевский пер.;д.3,район Хорошевский,Чапаевский пер.,д.3,"55.798480,37.520671",154.0,84500000,548701,55.798480,37.520671
Москва;район Тверской;2-й Щемиловский пер.;д.5а,район Тверской,2-й Щемиловский пер.,д.5а,"55.778801,37.608742",168.9,90475237,535673,55.778801,37.608742
Москва;район Замоскворечье;ул. Малая Ордынка;д.19,район Замоскворечье,ул. Малая Ордынка,д.19,"55.736909,37.625990",130.2,104192000,800245,55.736909,37.625990
Москва;район Хамовники;ул. Ефремова;д.10к1,район Хамовники,ул. Ефремова,д.10к1,"55.725331,37.573717",155.0,125000000,806451,55.725331,37.573717
Москва;район Тверской;ул. Фадеева;д.4А,район Тверской,ул. Фадеева,д.4А,"55.774867,37.601609",169.0,159000000,940828,55.774867,37.601609
Москва;район Тверской;ул. Фадеева;д.4А,район Тверской,ул. Фадеева,д.4А,"55.774867,37.601609",169.0,159000000,940828,55.774867,37.601609
Москва;район Арбат;Большой Афанасьевский пер.;д.28,район Арбат,Большой Афанасьевский пер.,д.28,"55.749603,37.597872",206.0,170000000,825242,55.749603,37.597872
Москва;район Арбат;Большой Афанасьевский пер.;д.28,район Арбат,Большой Афанасьевский пер.,д.28,"55.749603,37.597872",183.0,182759160,998683,55.749603,37.597872
Москва;район Арбат;Большой Афанасьевский пер.;д.28,район Арбат,Большой Афанасьевский пер.,д.28,"55.749603,37.597872",207.0,189061200,913339,55.749603,37.597872
Москва;район Пресненский;Леонтьевский пер.;д.8С1,район Пресненский,Леонтьевский пер.,д.8С1,"55.759091,37.603235",220.0,201665280,916660,55.759091,37.603235
Москва;район Арбат;Большой Афанасьевский пер.;д.28,район Арбат,Большой Афанасьевский пер.,д.28,"55.749603,37.597872",208.0,299346900,1439167,55.749603,37.597872
Москва;район Хорошевский;ул. Авиаконструктора Сухого;д.2к2,район Хорошевский,ул. Авиаконструктора Сухого,д.2к2,"55.786217,37.542231",136.0,39000000,286764,55.786217,37.542231
Москва;район Богородское;1-я Мясниковская ул.;д.2,район Богородское,1-я Мясниковская ул.,д.2,"55.816480,37.702158",127.6,26133000,204804,55.816480,37.702158
Москва;район Богородское;1-я Мясниковская ул.;д.2,район Богородское,1-я Мясниковская ул.,д.2,"55.816480,37.702158",133.0,28376000,213353,55.816480,37.702158
Москва;район Щукино;Авиационная ул.;д.77к2,район Щукино,Авиационная ул.,д.77к2,"55.809348,37.450863",129.8,29041000,223736,55.809348,37.450863
