address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct,distr
Санкт-Петербург;район Адмиралтейский;8-я Красноармейская ул.;д.20А,район Адмиралтейский,8-я Красноармейская ул.,д.20А,"59.914245,30.299088",172.0,25000000,145348,59.914245,30.299088,1,"МО №5 ""Измайловское"""
Санкт-Петербург;район Центральный;Ковенский пер.;д.23,район Центральный,Ковенский пер.,д.23,"59.937157,30.362095",235.0,24999000,106378,59.93715699999999,30.362095,1,"МО №80 ""Смольнинское"""
Санкт-Петербург;район Петроградский;Каменноостровский просп.;д.26-28,район Петроградский,Каменноостровский просп.,д.26-28,"59.962845,30.313901",168.5,24999000,148362,59.962845,30.313901,1,"МО №59 ""Кронверкское"""
Санкт-Петербург;район Адмиралтейский;Большая Подьяческая ул.;д.8,район Адмиралтейский,Большая Подьяческая ул.,д.8,"59.925655,30.305870",198.0,25000000,126262,59.925655000000006,30.30587,1,"МО №3 ""Адмиралтейский"""
Санкт-Петербург;Колпино;район Колпинский;ул. Тазаева;д.1,район Колпинский,ул. Тазаева,д.1,"59.741214,30.604730",207.0,25000000,120772,59.741214,30.60473,1,"МО ""г. Колпино"""
Санкт-Петербург;район Калининский;ул. Комиссара Смирнова;д.6,район Калининский,ул. Комиссара Смирнова,д.6,"59.962579,30.352771",190.7,25010000,131148,59.96257900000001,30.352771,1,"МО №20 ""Финляндский"""
Санкт-Петербург;район Василеостровский;7-я Васильевского острова линия;д.28,район Василеостровский,7-я Васильевского острова линия,д.28,"59.940235,30.281400",157.3,25500000,162110,59.940235,30.2814,1,МО №7
Санкт-Петербург;район Московский;Смоленская ул.;д.14,район Московский,Смоленская ул.,д.14,"59.904902,30.322956",147.3,25400000,172437,59.904902,30.322956,1,"МО №44 ""Московская застава"""
Санкт-Петербург;район Центральный;ул. Восстания;д.32,район Центральный,ул. Восстания,д.32,"59.940533,30.360200",190.0,25500000,134210,59.940533,30.3602,1,"МО №79 ""Литейный"""
Санкт-Петербург;район Центральный;наб. Канала Грибоедова;д.22,район Центральный,наб. Канала Грибоедова,д.22,"59.933911,30.326414",95.0,25450000,267894,59.933911,30.326414,1,МО №78
Санкт-Петербург;Пушкин;район Пушкинский;Песочная ул.;д.2/4,район Пушкинский,Песочная ул.,д.2/4,"59.728075,30.399941",166.5,25900000,155555,59.728075,30.399941,1,"МО ""г. Пушкин"""
